股票代码,股票简称,公告日期,净利润(元),营业总收入(元),营业总支出(元),营业支出(元),销售费用(元),管理费用(元),财务费用(元),营业利润(元),利润总额(元),营业总收入同比(%),净利润同比(%)
002550,千红制药,2023-07-22 00:00:00,119025836.94,1056756137.67,936630414.3,614967781.22,217344429.03,62822042.84,-8327901.47,134683297.94,134760019.43,-7.0481724175,-41.03
603727,博迈科,2023-07-22 00:00:00,-71028412.44,900460969.61,991805006.94,851314167.85,5329984.09,30147351.23,55010887.84,-89482766.52,-88431976.46,-42.3717240427,-240.13
300708,聚灿光电,2023-07-20 00:00:00,25072506.74,1199068519.95,1169904397.14,1080023669.92,6970780.97,22379085.16,-11841846.31,15671200.79,15671780.78,19.2070454267,-41.59
300827,上能电气,2023-07-20 00:00:00,135143110.75,2176956500.93,2000798568.48,1799048638.18,104191045.95,32044670.87,-25004120.08,143215686.09,143215686.09,416.5762136971,488.54
830839,万通液压,2023-07-20 00:00:00,36105499.96,344898045.79,300801005.45,272157194.42,3742111.43,9335824.84,1416575.83,40323600.75,40414914.24,63.694242742,86.12
688602,康鹏科技,2023-07-19 00:00:00,74525175.52,525430133.57,447932912.12,350559176.6,5241791.55,47886038.24,-529268.16,85600537.83,81410365.3,-15.46,-23.26
000975,银泰黄金,2023-07-18 00:00:00,734617866.07,4572224190.3,3462674058.3,3171144154.64,964217.06,172179382.88,5498596.75,1143406417,1139019963.7,14.4759027969,29.83
002648,卫星化学,2023-07-18 00:00:00,1842790683.75,20014043041.71,17901789777.74,16509082737.87,65230047.05,232423881.76,351134264.06,2126561352.56,2119514723.09,6.3793336861,-34.13
603053,成都燃气,2023-07-15 00:00:00,338594942.42,2707525018.79,2341393473.27,2105854791.76,137331519.98,102091745.53,-26011704.57,398266558.63,408638008.26,5.5972677377,3.880225386827
600557,康缘药业,2023-07-13 00:00:00,275720868.32,2553167904.18,2233196147.97,639568560,1088665320.81,109951685.18,-7871616.12,342229117.5,334746398.79,21.7430617925,30.6
